母(0)/子(1)                                               评论内容
706          0          北朝鮮の脅威が無くなれば中国だけ日本にあるベースはそのままか韓国から増えるのかも。
707          0   アメリカは、石油出るのに輸出せず、輸入して石油価格を釣り上げている。アメリカ政府がユダヤ金...
708          0   中国に追い越されて世界ナンバー２になるのは嫌だとトランプは公言していた。今迄散々中国で金儲...
709          0                                   いけいけ！ 品を懲らしめてやれ！
710          0                                  打倒中国！！！打倒立憲民主党！！！
711          0               成り上がりの馬鹿国、何でも力と、数と金ででかい顔する国には絶対負けるな。
712          0                                   アメリカから中国人を追放したら？
713          0   売れる物を作れないアメリカと人のパクリで生きている大工場中国が揉めるのは消費大国が覇権を握...
714          0   アジアの火種はアメリカの甘い蜜。当事者の韓国が沈黙している今、周りが騒がしい。北朝鮮と日本...
715          0   独自で研究・開発費を費やすことなく、時間も手間もかけずに、パクるだけで ラクして儲けての成...
716          0   一層のこと、中国からの輸入を全世界でやめてしまえば？全て品物は悪く、島を盗み、食品は危険、...
717          0   中国が破滅の道にまっしぐらやね、コピー商品粗悪な商品、中国産はろくなものない、食品も自国民...
718          0   日本も貿易摩擦の末「プラザ合意」やビル・クリントン元大統領から「スーパー３０１条を発動する...
719          1  米国の日本に対する半導体に関しての圧力は酷いものがあった。日本製DRAMの価格監視や、国内で...
720          1                                         憲法改正しないとね。
721          0   中国がWTOに提訴とか、悪い冗談かと。どこの国にも悪いヤツはいるものですが、中国だけは飛び...
722          0   中国に面と向かってこんな事出来るのはアメリカだけだろ？日本も韓国や中国に同じ事してやれよ！...
723          0   世界の目が北朝鮮問題解決することで、中国の蛮行に目が向けられることになる。今後いよいよ徹底...
724          0   中国のくせに生意気とことん叩きのめせばよい西側に依存していた身分を思い知らせてやるそして日...
725          0   ゴミが輸出できなくなり困るのは中国NS条項を適用して輸入禁止してその分を同盟国が防衛コスト...

[726 rows x 2 columns]
